brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address,configuration
Ford,Ranger,2020,38499,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,70044,,1FTER4FH7LLA18076,https://media.kijiji.ca/api/v1/autos-prod-ads/images/83/836c76ea-d90b-41ce-88f3-9feee459c19e?rule=kijijica-640-jpg,,
Ram,1500,2017,24495,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,187732,,3C6RR7KT3HG642501,https://media.kijiji.ca/api/v1/autos-prod-ads/images/7e/7e3ac538-75b9-4db3-a4ce-4a3df2abbdac?rule=kijijica-640-jpg,,
Chevrolet,Silverado 1500,2021,54495,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,56875,,3GCPYFEDXMG250305,https://media.kijiji.ca/api/v1/autos-prod-ads/images/63/63738581-f512-4f3d-aaed-f34a61ca934c?rule=kijijica-640-jpg,,
Chevrolet,Camaro,1996,12000,,,Used,,,,,124,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/03/03fc9252-99c0-40fa-949d-2df35f4a519e?rule=kijijica-640-jpg,,
Hyundai,Elantra,2020,20990,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,92502,,KMHD84LF7LU102387,https://media.kijiji.ca/api/v1/autos-prod-ads/images/05/05ad3532-96ee-4468-a750-f38c58b4ee6e?rule=kijijica-640-jpg,,
Land Rover,Range Rover Evoque,2020,42890,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,20756,,SALZJ2FXXLH014295,https://media.kijiji.ca/api/v1/autos-prod-ads/images/de/dee8aa16-f9b4-407b-9ab5-da64bf96f750?rule=kijijica-640-jpg,,
Toyota,Sienna,2006,3899,Gold,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,276119,,5TDZA23C56S397569,https://media.kijiji.ca/api/v1/autos-prod-ads/images/cd/cdbf08ae-cfcd-43bb-81c3-08ce42f0247d?rule=kijijica-640-jpg,,
Ford,Fusion,2011,3800,Sedan,,Used,All-wheel drive (AWD),Other,Gasoline,,312000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/79/79ad02fc-fd53-4cb0-ac1b-42e30a1ce7b3?rule=kijijica-640-jpg,,
Ford,F-150,2020,49332,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,132864,,1FTEW1EG4LFB82366,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ed/ed6ceebc-5758-4cd7-8a5c-68ff840e95e6?rule=kijijica-640-jpg,,
Jeep,Cherokee,2016,24749,Orange,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,57458,,1C4PJMBS0GW113472,https://media.kijiji.ca/api/v1/autos-prod-ads/images/9a/9a551a2b-dd23-4ac4-b2fc-836ea6829d05?rule=kijijica-640-jpg,,
GMC,Sierra 1500,2020,45887,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,107334,,1GTU9CED0LZ183940,https://media.kijiji.ca/api/v1/autos-prod-ads/images/29/29dd1d7e-b8a3-4c5f-ac71-87c282f72509?rule=kijijica-640-jpg,,
Chrysler,Pacifica,2023,62575,Black,,New,"Minivan, Van",All-wheel drive (AWD),Automatic,Gasoline,0,,2C4RC3BGXPR544063,,,
